BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
6.105 3349.169 0.1 0.1 2.2E-5 10 0.15 0.9 3323 49 3336 815 3371 65 128.537390611426
6.198 3347.073 0.1 0.1 2.2E-5 10 0.2 0.9 3323 63 3336 821 3371 54 128.208976381719
6.228 3346.277 0.1 0.1 2.2E-5 10 0.25 0.9 3323 83 3336 793 3371 63 128.695479474309
6.165 3346.486 0.1 0.1 2.2E-5 10 0.3 0.9 3323 58 3336 822 3371 60 128.32970417601
6.092 3346.473 0.1 0.1 2.2E-5 10 0.35 0.9 3323 62 3336 815 3371 65 128.327780876803
6.241 3345.384 0.1 0.1 2.2E-5 10 0.4 0.9 3323 68 3336 822 3371 54 128.394999227797
6.293 3347.557 0.1 0.1 2.2E-5 10 0.45 0.9 3323 61 3336 816 3371 55 128.222738723572
6.237 3346.552 0.1 0.1 2.2E-5 10 0.5 0.9 3323 80 3336 795 3371 67 128.428361158256
6.452 3346.155 0.1 0.1 2.2E-5 10 0.55 0.9 3323 61 3336 810 3371 75 128.266360605429
6.202 3345.251 0.1 0.1 2.2E-5 10 0.6 0.9 3323 88 3336 802 3371 54 128.926484124717
6.099 3346.603 0.1 0.1 2.2E-5 10 0.65 0.9 3323 67 3336 792 3371 82 129.001188164559
6.213 3346.534 0.1 0.1 2.2E-5 10 0.7 0.9 3323 62 3336 809 3371 75 129.015140315256
6.337 3348.508 0.1 0.1 2.2E-5 10 0.75 0.9 3323 74 3336 795 3371 66 128.742690428092
6.417 3345.772 0.1 0.1 2.2E-5 10 0.8 0.9 3323 80 3336 801 3371 63 128.941899047242
6.505 3345.542 0.1 0.1 2.2E-5 10 0.85 0.9 3323 83 3336 807 3371 53 129.152316692283
6.483 3343.47 0.1 0.1 2.2E-5 10 0.9 0.9 3323 82 3336 803 3371 76 129.334501140944
6.617 3340.78 0.1 0.1 2.2E-5 10 0.95 0.9 3323 123 3336 787 3371 60 130.223237678267

AntDir = Unidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
5.989 3346.084 0.1 0.1 2.2E-5 10 0.05 0.9 3323 55 3336 843 3371 41 128.465936497534
6.27 3348.848 0.1 0.1 2.2E-5 10 0.1 0.9 3323 64 3336 803 3371 67 128.593807377264
6.119 3345.899 0.1 0.1 2.2E-5 10 0.15 0.9 3323 67 3336 812 3371 65 128.687522065958
6.267 3349.008 0.1 0.1 2.2E-5 10 0.2 0.9 3323 68 3336 793 3371 63 128.235672597515
