BatchFile test, number of cities :=52
AMTS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
112.31 7706.555 0.1 0.5 0.1 25 0.3 6 7542 1 7543 4 7547 10 784.784674899907
110.485 7699.46 0.1 0.5 0.1 25 0.35 6 7543 7 7547 3 7548 11 782.48762721603
116.29 7698.285 0.1 0.5 0.1 25 0.4 6 7542 5 7543 9 7547 3 783.712571466319
110.235 7710.68 0.1 0.5 0.1 25 0.45 6 7543 5 7547 4 7548 8 771.499747245895
122.755 7705.085 0.1 0.5 0.1 25 0.5 6 7542 2 7543 4 7547 6 771.818139237168
121.3 7705.35 0.1 0.5 0.1 25 0.55 6 7542 2 7543 3 7547 3 769.107934444222
124.325 7707.595 0.1 0.5 0.1 25 0.6 6 7543 6 7547 3 7548 8 765.358919953208
126.29 7690.095 0.1 0.5 0.1 25 0.65 6 7542 4 7543 8 7547 1 761.197025240779
126.22 7700.435 0.1 0.5 0.1 25 0.7 6 7543 6 7547 4 7548 5 764.772981363141
126.06 7706.89 0.1 0.5 0.1 25 0.75 6 7542 2 7543 4 7547 6 755.386711301459
132.135 7704.03 0.1 0.5 0.1 25 0.8 6 7542 4 7543 4 7547 4 753.799986974074
128.185 7700.72 0.1 0.5 0.1 25 0.85 6 7543 3 7547 3 7548 10 753.719418983414
132.215 7698.535 0.1 0.5 0.1 25 0.9 6 7542 1 7543 5 7547 3 749.897127099749
136.005 7710.5 0.1 0.5 0.1 25 0.95 6 7542 1 7543 3 7547 3 750.000348610805

AntDir = Unidirectional
96.04 7727.055 0.1 0.5 0.1 25 0 6 7543 5 7547 6 7548 7 809.376523652711
100.135 7722.915 0.1 0.5 0.1 25 0.05 6 7542 1 7543 1 7547 5 812.601610879452
103.055 7704.895 0.1 0.5 0.1 25 0.1 6 7543 3 7547 6 7548 11 798.034634135546
102.725 7720.21 0.1 0.5 0.1 25 0.15 6 7542 1 7543 5 7547 4 799.516865092862
107.605 7705.06 0.1 0.5 0.1 25 0.2 6 7542 2 7543 9 7547 3 800.478941677144
107.99 7704.34 0.1 0.5 0.1 25 0.25 6 7542 2 7543 2 7547 3 798.039527041099
108.715 7701.64 0.1 0.5 0.1 25 0.3 6 7542 3 7543 2 7547 5 786.961531908198
115.28 7708.675 0.1 0.5 0.1 25 0.35 6 7542 2 7543 2 7547 7 796.05837353159
115.385 7707.93 0.1 0.5 0.1 25 0.4 6 7542 2 7543 5 7547 4 786.519661135008
116.405 7694.11 0.1 0.5 0.1 25 0.45 6 7542 4 7543 4 7547 6 782.812948788517
119.575 7703.985 0.1 0.5 0.1 25 0.5 6 7542 3 7543 3 7547 4 776.332338883077
118.94 7706.035 0.1 0.5 0.1 25 0.55 6 7542 2 7543 2 7547 3 774.047787296371
121.74 7699.155 0.1 0.5 0.1 25 0.6 6 7542 1 7543 6 7547 6 773.629181242352
121.66 7696.525 0.1 0.5 0.1 25 0.65 6 7543 4 7547 7 7548 11 772.789737308916
123.18 7692.745 0.1 0.5 0.1 25 0.7 6 7543 6 7547 4 7548 15 767.228368934602
122.475 7687.445 0.1 0.5 0.1 25 0.75 6 7542 5 7543 4 7547 3 766.335499796782
123.335 7696.15 0.1 0.5 0.1 25 0.8 6 7542 6 7543 4 7547 4 763.0040891209
123.615 7690.635 0.1 0.5 0.1 25 0.85 6 7542 3 7543 5 7547 3 762.639744356518
134.09 7693.23 0.1 0.5 0.1 25 0.9 6 7542 1 7543 4 7547 5 760.937915204504
133.795 7689.01 0.1 0.5 0.1 25 0.95 6 7542 1 7543 2 7547 10 760.873311285018


