BatchFile test, number of cities :=14
ACS Algorithm format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
16.696 3360.75 0.1 0.1 2.2E-5 10 0.05 0.9 3323 151 3336 490 3346 14 147.405430779773
16.774 3362.658 0.1 0.1 2.2E-5 10 0.1 0.9 3323 135 3336 492 3346 17 146.72622992096
16.909 3358.455 0.1 0.1 2.2E-5 10 0.15 0.9 3323 132 3336 497 3346 18 146.31886905121
16.125 3361.694 0.1 0.1 2.2E-5 10 0.2 0.9 3323 137 3336 494 3346 10 146.540085516504
16.308 3361.69 0.1 0.1 2.2E-5 10 0.25 0.9 3323 130 3336 490 3346 13 146.139547682412
17.329 3359.414 0.1 0.1 2.2E-5 10 0.3 0.9 3323 146 3336 465 3346 8 146.464197162559
16.361 3360.132 0.1 0.1 2.2E-5 10 0.35 0.9 3323 140 3336 484 3346 15 146.470957056601
17.598 3359.86 0.1 0.1 2.2E-5 10 0.4 0.9 3323 143 3336 486 3346 20 146.272693739464
16.637 3358.396 0.1 0.1 2.2E-5 10 0.45 0.9 3323 144 3336 494 3346 14 146.911197385446
16.761 3359.768 0.1 0.1 2.2E-5 10 0.5 0.9 3323 131 3336 483 3346 16 146.784577803237
16.546 3358.878 0.1 0.1 2.2E-5 10 0.55 0.9 3323 151 3336 493 3346 10 147.68321001691
16.239 3359.297 0.1 0.1 2.2E-5 10 0.6 0.9 3323 161 3336 451 3346 15 147.178103702257
16.508 3356.149 0.1 0.1 2.2E-5 10 0.65 0.9 3323 160 3336 495 3346 7 147.409813853243
16.113 3352.926 0.1 0.1 2.2E-5 10 0.7 0.9 3323 159 3336 526 3346 14 147.76628196124
17.006 3353.508 0.1 0.1 2.2E-5 10 0.75 0.9 3323 178 3336 493 3346 16 148.547530610424
17.053 3355.763 0.1 0.1 2.2E-5 10 0.8 0.9 3323 165 3336 497 3346 14 147.941982992057
17.09 3355.23 0.1 0.1 2.2E-5 10 0.85 0.9 3323 206 3336 456 3346 10 148.997654416237
17.489 3352.194 0.1 0.1 2.2E-5 10 0.9 0.9 3323 172 3336 541 3346 14 149.082491650612
17.793 3348.508 0.1 0.1 2.2E-5 10 0.95 0.9 3323 246 3336 489 3346 2 150.29719092257

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.566 3361.852 0.1 0.1 2.2E-5 10 0.05 0.9 3323 132 3336 495 3346 12 146.865887788042
17.738 3359.672 0.1 0.1 2.2E-5 10 0.1 0.9 3323 155 3336 490 3346 9 146.568154914228
16.867 3357.774 0.1 0.1 2.2E-5 10 0.15 0.9 3323 144 3336 494 3346 17 146.097349778478
17.384 3358.929 0.1 0.1 2.2E-5 10 0.2 0.9 3323 122 3336 514 3346 17 146.141701610705
17.775 3359.242 0.1 0.1 2.2E-5 10 0.25 0.9 3323 138 3336 500 3346 17 145.833609513531
16.666 3358.524 0.1 0.1 2.2E-5 10 0.3 0.9 3323 123 3336 506 3346 9 145.731513314432
17.083 3358.367 0.1 0.1 2.2E-5 10 0.35 0.9 3323 155 3336 482 3346 12 146.817965336243
17.963 3356.556 0.1 0.1 2.2E-5 10 0.4 0.9 3323 157 3336 506 3346 11 146.287355846301
16.931 3358.206 0.1 0.1 2.2E-5 10 0.45 0.9 3323 145 3336 506 3346 10 147.318647892522
17.356 3352.962 0.1 0.1 2.2E-5 10 0.5 0.9 3323 149 3336 530 3346 14 147.318951091148
16.737 3348.855 0.1 0.1 2.2E-5 10 0.55 0.9 3323 149 3336 565 3346 7 147.944073879291
16.528 3352.34 0.1 0.1 2.2E-5 10 0.6 0.9 3323 147 3336 524 3346 14 148.680014233165
16.367 3349.335 0.1 0.1 2.2E-5 10 0.65 0.9 3323 153 3336 531 3346 8 150.013315732657
16.554 3349.714 0.1 0.1 2.2E-5 10 0.7 0.9 3323 162 3336 501 3346 8 151.311417899398
17.425 3347.572 0.1 0.1 2.2E-5 10 0.75 0.9 3323 168 3336 530 3346 3 152.798679909567
18.124 3348.829 0.1 0.1 2.2E-5 10 0.8 0.9 3323 180 3336 494 3346 2 153.630054468792
18.669 3348.972 0.1 0.1 2.2E-5 10 0.85 0.9 3323 171 3336 490 3346 3 155.794401707368
20.42 3346.047 0.1 0.1 2.2E-5 10 0.9 0.9 3323 227 3336 479 3346 1 157.471010517857
24.603 3335.949 0.1 0.1 2.2E-5 10 0.95 0.9 3323 472 3336 415 3346 3 161.109954809618


AntType = Tanh
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
17.059 3358.724 0.1 0.1 2.2E-5 10 0.05 0.9 3323 148 3336 519 3346 12 147.696330289595
16.583 3359.036 0.1 0.1 2.2E-5 10 0.1 0.9 3323 135 3336 504 3346 25 146.644368858791
16.777 3357.242 0.1 0.1 2.2E-5 10 0.15 0.9 3323 123 3336 529 3346 22 145.941421053456
16.774 3362.295 0.1 0.1 2.2E-5 10 0.2 0.9 3323 128 3336 479 3346 19 146.148672740326
17.501 3361.087 0.1 0.1 2.2E-5 10 0.25 0.9 3323 137 3336 466 3346 25 146.771113145766
16.707 3359.353 0.1 0.1 2.2E-5 10 0.3 0.9 3323 156 3336 474 3346 11 146.461318753005
17.542 3359.004 0.1 0.1 2.2E-5 10 0.35 0.9 3323 130 3336 512 3346 12 146.278351059138
17.213 3358.131 0.1 0.1 2.2E-5 10 0.4 0.9 3323 132 3336 512 3346 15 145.931991327098
16.556 3358.833 0.1 0.1 2.2E-5 10 0.45 0.9 3323 155 3336 486 3346 16 147.46678523251
17.221 3356.951 0.1 0.1 2.2E-5 10 0.5 0.9 3323 162 3336 489 3346 19 146.4387895622
16.922 3359.648 0.1 0.1 2.2E-5 10 0.55 0.9 3323 125 3336 509 3346 18 146.373791266294
15.979 3357.614 0.1 0.1 2.2E-5 10 0.6 0.9 3323 130 3336 504 3346 6 146.427719612126
17.194 3354.481 0.1 0.1 2.2E-5 10 0.65 0.9 3323 159 3336 514 3346 1 147.174179150575
16.539 3354.958 0.1 0.1 2.2E-5 10 0.7 0.9 3323 139 3336 513 3346 14 146.621863902376
17.955 3358.032 0.1 0.1 2.2E-5 10 0.75 0.9 3323 171 3336 479 3346 11 148.15541379026
17.42 3351.918 0.1 0.1 2.2E-5 10 0.8 0.9 3323 174 3336 520 3346 11 147.86767768569
17.9 3356.206 0.1 0.1 2.2E-5 10 0.85 0.9 3323 157 3336 494 3346 6 148.222653488235
18.047 3357.69 0.1 0.1 2.2E-5 10 0.9 0.9 3323 161 3336 501 3346 4 148.317651197375
18.589 3357.062 0.1 0.1 2.2E-5 10 0.95 0.9 3323 171 3336 522 3346 4 149.055101867879

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.323 3362.733 0.1 0.1 2.2E-5 10 0.05 0.9 3323 128 3336 502 3346 10 146.91841836091
16.439 3359.095 0.1 0.1 2.2E-5 10 0.1 0.9 3323 150 3336 486 3346 21 146.407758407682
16.575 3358.807 0.1 0.1 2.2E-5 10 0.15 0.9 3323 127 3336 511 3346 15 146.089854824862
17.002 3356.459 0.1 0.1 2.2E-5 10 0.2 0.9 3323 159 3336 490 3346 11 146.059964424046
18.398 3356.577 0.1 0.1 2.2E-5 10 0.25 0.9 3323 144 3336 523 3346 11 145.753558280539
16.445 3358.499 0.1 0.1 2.2E-5 10 0.3 0.9 3323 127 3336 529 3346 18 145.610978262709
16.596 3356.149 0.1 0.1 2.2E-5 10 0.35 0.9 3323 141 3336 523 3346 9 145.751099207547
17.631 3355.77 0.1 0.1 2.2E-5 10 0.4 0.9 3323 150 3336 514 3346 15 145.660854997307
16.505 3351.079 0.1 0.1 2.2E-5 10 0.45 0.9 3323 137 3336 564 3346 8 146.449697108753
16.691 3352.484 0.1 0.1 2.2E-5 10 0.5 0.9 3323 140 3336 541 3346 5 146.221619022899
17.259 3351.54 0.1 0.1 2.2E-5 10 0.55 0.9 3323 130 3336 555 3346 9 146.973219869905
17.037 3351.07 0.1 0.1 2.2E-5 10 0.6 0.9 3323 151 3336 516 3346 12 147.824369531159
17.145 3349.548 0.1 0.1 2.2E-5 10 0.65 0.9 3323 149 3336 545 3346 9 148.416662778376
17.294 3348.983 0.1 0.1 2.2E-5 10 0.7 0.9 3323 131 3336 575 3346 4 149.685634591859
16.973 3347.245 0.1 0.1 2.2E-5 10 0.75 0.9 3323 131 3336 590 3346 4 150.923008805733
17.497 3345.561 0.1 0.1 2.2E-5 10 0.8 0.9 3323 164 3336 575 3346 1 152.466112104189
17.458 3345.043 0.1 0.1 2.2E-5 10 0.85 0.9 3323 171 3336 581 3359 2 154.600955915547
17.568 3345.301 0.1 0.1 2.2E-5 10 0.9 0.9 3323 156 3336 582 3359 4 155.421047181489
20.808 3340.274 0.1 0.1 2.2E-5 10 0.95 0.9 3323 229 3336 614 3346 1 157.503756134442


AntType = 1 on Sqrt X
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.536 3361.031 0.1 0.1 2.2E-5 10 0.05 0.9 3323 133 3336 478 3346 21 146.891717942666
16.019 3361.43 0.1 0.1 2.2E-5 10 0.1 0.9 3323 132 3336 494 3346 21 146.583113855087
17.65 3362.245 0.1 0.1 2.2E-5 10 0.15 0.9 3323 124 3336 470 3346 19 146.706576815445
16.148 3361.584 0.1 0.1 2.2E-5 10 0.2 0.9 3323 133 3336 460 3346 13 146.510037948956
17.467 3358.741 0.1 0.1 2.2E-5 10 0.25 0.9 3323 149 3336 485 3346 16 146.754150068885
17.435 3362.976 0.1 0.1 2.2E-5 10 0.3 0.9 3323 131 3336 478 3346 16 146.437327300676
15.745 3356.569 0.1 0.1 2.2E-5 10 0.35 0.9 3323 129 3336 517 3346 17 145.992134110952
17.595 3359.078 0.1 0.1 2.2E-5 10 0.4 0.9 3323 142 3336 501 3346 17 146.223730456629
16.499 3355.313 0.1 0.1 2.2E-5 10 0.45 0.9 3323 132 3336 514 3346 15 146.688757932969
17.071 3357.455 0.1 0.1 2.2E-5 10 0.5 0.9 3323 137 3336 504 3346 13 146.303583240328
16.603 3354.043 0.1 0.1 2.2E-5 10 0.55 0.9 3323 146 3336 526 3346 14 146.655944738436
16.77 3355.111 0.1 0.1 2.2E-5 10 0.6 0.9 3323 141 3336 510 3346 9 146.205974274411
17.361 3358.716 0.1 0.1 2.2E-5 10 0.65 0.9 3323 130 3336 496 3346 12 146.540755984307
17.027 3357.595 0.1 0.1 2.2E-5 10 0.7 0.9 3323 123 3336 495 3346 11 146.764771737257
16.577 3359.538 0.1 0.1 2.2E-5 10 0.75 0.9 3323 122 3336 505 3346 7 146.582947944943
18.042 3354.788 0.1 0.1 2.2E-5 10 0.8 0.9 3323 145 3336 509 3346 12 146.447129393166
17.451 3356.248 0.1 0.1 2.2E-5 10 0.85 0.9 3323 154 3336 490 3346 11 147.261138359514
17.184 3359.307 0.1 0.1 2.2E-5 10 0.9 0.9 3323 145 3336 472 3346 10 147.45137080124
16.896 3358.387 0.1 0.1 2.2E-5 10 0.95 0.9 3323 132 3336 502 3346 10 147.361734253167

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.672 3360.971 0.1 0.1 2.2E-5 10 0.05 0.9 3323 119 3336 496 3346 20 146.191459342602
18.036 3357.91 0.1 0.1 2.2E-5 10 0.1 0.9 3323 167 3336 482 3346 16 146.127648230203
16.675 3355.56 0.1 0.1 2.2E-5 10 0.15 0.9 3323 140 3336 512 3346 12 145.289158374495
17.644 3355.571 0.1 0.1 2.2E-5 10 0.2 0.9 3323 143 3336 525 3346 14 145.540638633473
16.93 3353.63 0.1 0.1 2.2E-5 10 0.25 0.9 3323 155 3336 523 3346 11 145.336051796078
17.242 3353.186 0.1 0.1 2.2E-5 10 0.3 0.9 3323 138 3336 545 3346 8 145.588562722113
16.94 3353.026 0.1 0.1 2.2E-5 10 0.35 0.9 3323 123 3336 539 3346 12 145.245668480571
17.681 3351.215 0.1 0.1 2.2E-5 10 0.4 0.9 3323 139 3336 550 3346 14 145.613392859293
17.053 3350.974 0.1 0.1 2.2E-5 10 0.45 0.9 3323 144 3336 526 3346 9 146.76598342247
16.397 3351.927 0.1 0.1 2.2E-5 10 0.5 0.9 3323 136 3336 533 3346 12 147.345498722939
17.266 3352.313 0.1 0.1 2.2E-5 10 0.55 0.9 3323 137 3336 525 3346 9 147.846045316021
17.006 3350.183 0.1 0.1 2.2E-5 10 0.6 0.9 3323 138 3336 543 3346 3 148.274751758035
16.517 3350.498 0.1 0.1 2.2E-5 10 0.65 0.9 3323 147 3336 550 3346 3 149.528947049347
16.661 3350.329 0.1 0.1 2.2E-5 10 0.7 0.9 3323 126 3336 566 3346 2 149.920190137915
16.197 3350.175 0.1 0.1 2.2E-5 10 0.75 0.9 3323 139 3336 552 3346 9 150.855405714602
16.524 3347.972 0.1 0.1 2.2E-5 10 0.8 0.9 3323 142 3336 565 3346 6 150.55592236315
16.808 3347.337 0.1 0.1 2.2E-5 10 0.85 0.9 3323 142 3336 567 3346 5 151.388184506631
17.086 3346.776 0.1 0.1 2.2E-5 10 0.9 0.9 3323 134 3336 568 3346 8 151.084221169381
16.661 3345.862 0.1 0.1 2.2E-5 10 0.95 0.9 3323 141 3336 598 3346 5 152.285676260343


AntType = 1 on X
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
